,Arene_name,Arene_smi,Radical_name,Radical_smi,Product_name,Product_smi,rxn,Output,React_sites_Ar_R,Prod_sites,Divider,Ar_n,SMILES_Ar,Radical_n,SMILES_R,ArR_n,SMILES_ArR,R_Ar_n,DG_TS
0,Arene_0,FC(F)(F)c1ccco1,Radical_0,C[C](C)C#N,Product-Ar0-R0-P0,CC(C)(C#N)c1ccc(C(F)(F)F)o1,FC(F)(F)c1ccco1.C[C](C)C#N>>CC(C)(C#N)c1ccc(C(F)(F)F)o1,19.2,"((7,), (1,))","((5,), (1,))",,C1b,FC(F)(F)c1ccco1,CCN, C[C](C)C#N,CCN-C1b-1, CC(C)(C#N)c1ccc(C(F)(F)F)o1,CCN-C1b,19.2
1,Arene_0,FC(F)(F)c1ccco1,Radical_0,C[C](C)C#N,Product-Ar0-R0-P1,CC(C)(C#N)c1coc(C(F)(F)F)c1,FC(F)(F)c1ccco1.C[C](C)C#N>>CC(C)(C#N)c1coc(C(F)(F)F)c1,25.4,"((6,), (1,))","((5,), (1,))",,C1b,FC(F)(F)c1ccco1,CCN, C[C](C)C#N,CCN-C1b-2, CC(C)(C#N)c1coc(C(F)(F)F)c1,CCN-C1b,25.4
2,Arene_0,FC(F)(F)c1ccco1,Radical_0,C[C](C)C#N,Product-Ar0-R0-P2,CC(C)(C#N)c1ccoc1C(F)(F)F,FC(F)(F)c1ccco1.C[C](C)C#N>>CC(C)(C#N)c1ccoc1C(F)(F)F,24.4,"((5,), (1,))","((5,), (1,))",,C1b,FC(F)(F)c1ccco1,CCN, C[C](C)C#N,CCN-C1b-3, CC(C)(C#N)c1ccoc1C(F)(F)F,CCN-C1b,24.4
3,Arene_1,CC(C)(C)c1ccco1,Radical_0,C[C](C)C#N,Product-Ar1-R0-P3,CC(C)(C)c1ccc(C(C)(C)C#N)o1,CC(C)(C)c1ccco1.C[C](C)C#N>>CC(C)(C)c1ccc(C(C)(C)C#N)o1,18.2,"((7,), (1,))","((7,), (8,))",,C1t,CC(C)(C)c1ccco1,CCN, C[C](C)C#N,CCN-C1t-1, CC(C)(C)c1ccc(C(C)(C)C#N)o1,CCN-C1t,18.2
4,Arene_1,CC(C)(C)c1ccco1,Radical_0,C[C](C)C#N,Product-Ar1-R0-P4,CC(C)(C)c1cc(C(C)(C)C#N)co1,CC(C)(C)c1ccco1.C[C](C)C#N>>CC(C)(C)c1cc(C(C)(C)C#N)co1,23.7,"((6,), (1,))","((6,), (7,))",,C1t,CC(C)(C)c1ccco1,CCN, C[C](C)C#N,CCN-C1t-2, CC(C)(C)c1cc(C(C)(C)C#N)co1,CCN-C1t,23.7
5,Arene_1,CC(C)(C)c1ccco1,Radical_0,C[C](C)C#N,Product-Ar1-R0-P5,CC(C)(C)c1occc1C(C)(C)C#N,CC(C)(C)c1ccco1.C[C](C)C#N>>CC(C)(C)c1occc1C(C)(C)C#N,26.3,"((5,), (1,))","((8,), (9,))",,C1t,CC(C)(C)c1ccco1,CCN, C[C](C)C#N,CCN-C1t-3, CC(C)(C)c1occc1C(C)(C)C#N,CCN-C1t,26.3
6,Arene_2,FC(F)(F)c1ccoc1,Radical_0,C[C](C)C#N,Product-Ar2-R0-P6,CC(C)(C#N)c1cc(C(F)(F)F)co1,FC(F)(F)c1ccoc1.C[C](C)C#N>>CC(C)(C#N)c1cc(C(F)(F)F)co1,19.7,"((6,), (1,))","((5,), (1,))",,C2b,FC(F)(F)c1ccoc1,CCN, C[C](C)C#N,CCN-C2b-1, CC(C)(C#N)c1cc(C(F)(F)F)co1,CCN-C2b,19.7
7,Arene_2,FC(F)(F)c1ccoc1,Radical_0,C[C](C)C#N,Product-Ar2-R0-P7,CC(C)(C#N)c1cocc1C(F)(F)F,FC(F)(F)c1ccoc1.C[C](C)C#N>>CC(C)(C#N)c1cocc1C(F)(F)F,26.1,"((5,), (1,))","((5,), (1,))",,C2b,FC(F)(F)c1ccoc1,CCN, C[C](C)C#N,CCN-C2b-2, CC(C)(C#N)c1cocc1C(F)(F)F,CCN-C2b,26.1
8,Arene_2,FC(F)(F)c1ccoc1,Radical_0,C[C](C)C#N,Product-Ar2-R0-P8,CC(C)(C#N)c1occc1C(F)(F)F,FC(F)(F)c1ccoc1.C[C](C)C#N>>CC(C)(C#N)c1occc1C(F)(F)F,18.9,"((8,), (1,))","((5,), (1,))",,C2b,FC(F)(F)c1ccoc1,CCN, C[C](C)C#N,CCN-C2b-4, CC(C)(C#N)c1occc1C(F)(F)F,CCN-C2b,18.9
9,Arene_3,CC(C)(C)c1ccoc1,Radical_0,C[C](C)C#N,Product-Ar3-R0-P9,CC(C)(C)c1coc(C(C)(C)C#N)c1,CC(C)(C)c1ccoc1.C[C](C)C#N>>CC(C)(C)c1coc(C(C)(C)C#N)c1,17.7,"((6,), (1,))","((7,), (8,))",,C2t,CC(C)(C)c1ccoc1,CCN, C[C](C)C#N,CCN-C2t-1, CC(C)(C)c1coc(C(C)(C)C#N)c1,CCN-C2t,17.7
